CODIGO,ESCALADA,FASE,GRUPO (BLOQUE)
60009,1,F1,B2
10151,1,F1,B2
10182,1,F1,B2
10193,1,F1,B2
10183,1,F1,B2
10184,1,F1,B2
10185,1,F1,B2
10188,1,F1,B2
10209,1,F2,B1
10225,1,F1,B2
10262,1,F1,B2
10236,1,F1,B2
10252,1,F1,B2
60248,1,F1,B2
10280,1,F1,B2
10283,1,F1,B2
10291,1,F1,B2
10371,1,F1,B2
86351,1,F1,B2
10385,1,F1,B2
10308,1,F1,B2
10384,1,F1,B2
10389,1,F1,B2
10404,1,F1,B2
10414,1,F1,B2
10417,1,F1,B2
10438,1,F1,B2
10465,1,F1,B2
10494,1,F1,B2
10495,1,F1,B2
62064,1,F1,B2
62076,1,F1,B2
86284,1,F1,B2
10513,1,F1,B2
10646,1,F1,B2
10999,1,F1,B2
11015,1,F2,B1
11003,1,F1,B2
60122,1,F1,B2
11004,1,F1,B2
11005,1,F1,B2
68204,1,F1,B2
10050,1,F1,B2
11030,1,F1,B2
11034,1,F1,B2
11037,1,F1,B2
11058,1,F1,B2
11108,1,F1,B2
11104,1,F1,B2
10235,1,F1,B2
11110,1,F1,B2
11114,1,F1,B2
11128,1,F1,B2
11130,1,F2,B1
11134,1,F1,B2
68097,1,F2,B1
11155,1,F1,B2
11147,1,F1,B2
11165,1,F1,B2
68089,1,F1,B2
68096,1,F1,B2
68100,1,F1,B2
11180,1,F1,B2
11184,1,F1,B2
11218,1,F1,B2
11227,1,F1,B2
60127,1,F1,B2
68008,1,F1,B2
68114,1,F1,B2
11244,1,F1,B2
11256,1,F1,B2
11257,1,F1,B2
68143,1,F1,B2
68156,1,F1,B2
11263,1,F1,B2
11272,1,F1,B2
11280,1,F1,B2
11298,1,F1,B2
11307,1,F2,B1
11308,1,F2,B1
11314,1,F2,B1
70001,1,F2,B1
11306,1,F1,B2
11310,1,F1,B2
11312,1,F1,B2
11334,1,F1,B2
11332,1,F1,B2
10065,1,F1,B2
86395,1,F1,B2
86394,1,F2,B1
70009,1,F1,B2
86393,1,F1,B2
70038,1,F1,B2
11323,1,F2,B1
11350,1,F1,B2
11318,1,F1,B2
11336,1,F2,B1
11317,1,F2,B1
11343,1,F2,B1
13671,1,F2,B1
11338,1,F2,B1
11331,1,F2,B1
11321,1,F2,B1
10123,1,F2,B1
11337,1,F2,B1
11340,1,F2,B1
11342,1,F2,B1
11329,1,F1,B2
14815,1,F1,B2
88036,1,F2,B1
11349,1,F2,B1
11319,1,F2,B1
11327,1,F2,B1
11330,1,F2,B1
11333,1,F1,B2
11344,1,F2,B1
11353,1,F2,B1
11354,1,F2,B1
11355,1,F1,B2
11356,1,F1,B2
11358,1,F1,B2
70011,1,F1,B2
11365,1,F2,B1
11367,1,F2,B1
14812,1,F2,B1
70093,1,F2,B1
86332,1,F2,B1
86389,1,F2,B1
90053,1,F2,B1
86333,1,F1,B2
11376,1,F1,B2
11377,1,F1,B2
